gene_name	n_syn	n_mis	n_non	n_spl	n_ind	wmis_cv	wnon_cv	wspl_cv	wind_cv	pmis_cv	ptrunc_cv	pallsubs_cv	pind_cv	qmis_cv	qtrunc_cv	qallsubs_cv	qind_cv	pglobal_cv	qglobal_cv
TP53	2	124	25	15	36	32.3210510825259	128.738904374103	128.738904374103	63.6379216103383	0	0	0	2.97442328868532e-29	0	0	0	5.97591382929767e-25	0	0
PIK3CA	2	75	0	0	0	14.5178966336944	0	0	0	0	0.216578034629601	0	1	0	0.866859071043279	0	1	0	0
KRAS	0	34	0	0	0	44.8898515695998	0	0	0	0	0.703618028317219	0	1	0	0.866859071043279	0	1	0	0
ARID1A	3	19	29	4	48	2.17777851523502	63.5508053580792	63.5508053580792	12.8416064557779	0.0586735142698587	0	0	3.48520372366047e-12	0.814222950885369	0	0	3.50106140060312e-08	0	0
B2M	1	2	2	2	10	3.69748139482164	93.0759989586116	93.0759989586116	49.3871157444971	0.158789535459632	3.35591650468814e-07	1.47246455994843e-06	1.94820529103272e-11	0.827439783127048	0.00224745728318965	0.00246527378949365	1.30471308340461e-07	1.11022302462516e-15	4.4610981575488e-12
RHOA	0	20	0	0	0	19.7833673975073	0	0	0	1.00693897664428e-11	0.733847748675839	6.77967681994573e-11	1	5.05760274494005e-08	0.866859071043279	2.72420973979059e-07	1	1.65522462403089e-09	5.54251965356745e-06
MAP2K7	1	23	1	2	3	9.84507014034918	25.6000761514354	25.6000761514354	5.2116526975006	1.87191905309803e-08	0.00042592211296355	5.70216196482676e-09	0.029929460587435	7.52174513915849e-05	0.407485770073842	1.90936893392224e-05	1	4.00909261344395e-09	1.02647612962442e-05
PTEN	2	11	3	2	8	4.90619225942124	18.9053819377575	18.9053819377575	12.1598741203543	0.00106952111389513	3.37945452750787e-05	9.19902753904189e-06	1.89304516425963e-05	0.383709798201199	0.0565805174268006	0.0108716271933465	0.0633886173252338	4.08730727041728e-09	1.02647612962442e-05
CDKN2A.p16INK4a	6	9	5	0	5	1.97651050200293	32.9322044343261	32.9322044343261	20.0249315772061	0.140627887434254	1.37365004715395e-06	6.66961531770038e-06	3.51978482813772e-05	0.824712525140866	0.00534802138372925	0.0083749525842449	0.0785733299801276	5.43987976886484e-09	1.21436249373626e-05
SMAD4	1	25	2	0	6	9.07629548773098	7.59139198976156	7.59139198976156	6.25353154394978	3.20992742386395e-08	0.0414362946366622	1.54091618687069e-07	0.00266172473822219	0.000107484419788084	0.866859071043279	0.000386981838880238	1	9.27532506356243e-09	1.86350555852033e-05
HLA-B	0	9	2	2	5	5.73278943439607	47.8838420672217	47.8838420672217	10.636179465972	0.00169369741671044	6.10731764194572e-06	2.48436946104214e-06	0.000567658462780003	0.486574595988173	0.0153377648430414	0.00383949744936904	0.67087212798312	3.01509140987477e-08	5.50692741052673e-05
ERBB3	3	46	0	0	2	6.02454721789382	0	0	1.16928194879714	4.03682632876823e-08	0.219444845747658	1.86455422213072e-08	0.469659266611055	0.000115862682530404	0.866859071043279	5.35153698240405e-05	1	1.71230191803318e-07	0.000286682148626705
ARID2	4	16	7	3	11	1.75949622121012	12.4744762827639	12.4744762827639	3.9317309562837	0.173121901932422	5.62332770792651e-07	3.43037159244997e-06	0.00537473828219434	0.827439783127048	0.00282445692449879	0.00459463971092748	1	3.46786030447355e-07	0.000535944472132139
CDH1	3	29	0	6	4	4.92240440124321	15.0566224979767	15.0566224979767	3.50038937707292	1.14490057213645e-05	2.12744106142804e-05	4.29399067858327e-07	0.0482811874772502	0.0191684978289946	0.0427424183651507	0.000862705667234165	1	3.87512166688531e-07	0.000556107638638519
RNF43	1	7	5	0	11	1.58686830026318	13.4994721460888	13.4994721460888	8.82964135769563	0.415329023801406	0.000201320210589939	0.00096882837308665	2.6285878752675e-05	0.880530455000636	0.237924961821322	0.374321746993921	0.0754442271457134	4.70771312599538e-07	0.000630551096095822
FBXW7	2	19	4	1	7	5.29273626812395	10.2260530928786	10.2260530928786	5.86481970884895	6.18848068579814e-05	0.000593273230026226	1.67883551291936e-05	0.00217498936996857	0.0679771632967121	0.54179329383895	0.0179240982912877	1	6.61845525273819e-07	0.000805846345098929
APC	7	20	12	1	14	1.16898391376486	7.81780789113994	7.81780789113994	3.12334056361093	0.671015791283693	1.59713943070905e-06	3.01530576851672e-06	0.0124977940916152	0.950915250052818	0.00534802138372925	0.00432717915680496	1	6.81866898943895e-07	0.000805846345098929
BMPR2	1	9	6	0	9	2.07810739288235	14.473949004344	14.473949004344	6.33237349572731	0.168374349121505	4.20072485528555e-05	0.000224741201755418	0.000615781057134302	0.827439783127048	0.0649205869750324	0.141102358889628	0.684207962862217	2.32403128352932e-06	0.00259400625096597
TRIM49C	1	16	0	0	0	11.7267817289629	0	0	0	5.04357313690917e-08	0.618857558199929	2.4107769824866e-07	1	0.000126663034867053	0.866859071043279	0.000538165781723758	1	3.91465499560706e-06	0.00413943860614429
PGM5	0	27	1	0	1	8.95887881653705	4.00619084089276	4.00619084089276	1.36224138610288	1.13339392426859e-07	0.28098904960866	7.77805529206255e-07	0.489367010187975	0.000253011303694225	0.866859071043279	0.00142062644429844	1	6.00692374752576e-06	0.006034255250577
GPSM3	0	7	0	0	4	9.53445056553915	0	0	14.8172626852187	0.000242395649283966	0.691304775917077	0.000999400545915408	0.000491620287615191	0.157095838379489	0.866859071043279	0.378848233358235	0.658476213231788	7.6283990494419e-06	0.00729819834773035
CASP8	0	7	2	1	7	3.59308388095427	15.0532082000873	15.0532082000873	8.88860393278959	0.031929292529623	0.00234353570675006	0.00308307349025128	0.000260227257750268	0.785050005844473	0.866859071043279	0.728729758736922	0.402171218112357	1.20632055174985e-05	0.0110164482750938
BCOR	5	11	6	1	9	0.934371077314875	10.9011854809627	10.9011854809627	3.41492660418869	0.878280132481869	3.05028281055719e-05	5.93308881778887e-05	0.0150493614275177	0.984145472426958	0.0557120290426405	0.0476806749752785	1	1.3329805993223e-05	0.0116438753134714
DCLK1	6	39	1	1	5	3.997381863424	1.98259530851418	1.98259530851418	4.22540508628835	9.39572911351494e-06	0.412281927223169	5.22217910164935e-05	0.0189239135660766	0.017160872147239	0.866859071043279	0.0437161668046821	1	1.46529798509265e-05	0.0121289894006318
MUC6	11	28	0	0	18	1.46897126377699	0	0	7.61984272791492	0.217208541687903	0.160790015302773	0.132558169658976	7.69525101898712e-06	0.833356927617405	0.866859071043279	0.949027993342604	0.0386513220556175	1.50925655774126e-05	0.0121289894006318
RASA1	1	10	6	0	9	2.1577502904223	11.1539750527998	11.1539750527998	5.45077490318509	0.137042510183679	0.000170924231262082	0.000820928413659994	0.00145741301618927	0.823728205146992	0.228935915352432	0.348231904319654	0.80894834536647	1.75111749383117e-05	0.0135314236802161
DCSTAMP	0	17	1	0	4	6.92028670208651	6.2283264200894	6.2283264200894	5.78273174125373	3.25203659385931e-05	0.175342405342798	0.000147186354936157	0.0115843929304555	0.0408354170045171	0.866859071043279	0.0985707019007446	1	2.43515745960154e-05	0.0181202772299462
EDNRB	5	26	2	0	4	4.32049102423961	4.27403153722744	4.27403153722744	4.44672814592114	3.11583233690849e-05	0.112268272556962	0.000125657170294891	0.0251616569535517	0.0408354170045171	0.866859071043279	0.0870544209791257	1	4.32032753584499e-05	0.0309998930438078
